Year,Month,Month-Year Format,Location,Avg. Stringency Index,New Deaths Million(No Nulls),New Deaths(No Nulls),Key,Fortnight
2021,2,Feb-2021-B,Italy,82.41,68.175,4122,2B2021,B
2021,2,Feb-2021-A,Italy,78.7,83.706,5061,2A2021,A
2021,2,Feb-2021-B,India,62.234285714,1.032,1425,2B2021,B
2021,2,Feb-2021-A,India,61.57,0.973,1340,2A2021,A
2021,3,Mar-2021-B,United States,62.991333333,43.847,14513,3B2021,B
2021,3,Mar-2021-A,United States,65.145,64.674,21407,3A2021,A
2021,3,Mar-2021-B,Italy,84.26,102.625,6205,3B2021,B
2021,3,Mar-2021-A,Italy,83.599285714,73.535,4446,3A2021,A
2021,3,Mar-2021-B,India,66.2,2.456,3389,3B2021,B
2021,3,Mar-2021-A,India,61.047142857,1.135,1568,3A2021,A
